Title,Section,Description,Path
,12-2.5,Time and Place of Hearing,
,12-2.6,Conduct of Hearing,
,12-2.7,Transcript of Proceedings,
,12-2.8,Determinations by Administration,
,12-2.9,Judicial Review,
,12-3.1,Identification Cards,
,12-3.2,Notation of Veteran Status on Driver's Licenses or Identification Cards,
,12-3.3,Identification of Donors Under Maryland Revised Anatomical Gift Act,
,12-3.4,Selective Service Administration Registration -- Drivers' Licenses and Identification Cards.,
,12-3.5,"Indication of Applicant's Sex on License, Identification Card Moped Operator's Permit",
,12-4.0,When Proportional Registration Not Required,
,12-4.1,"""Jurisdiction"" Defined",
,12-4.1,"Suspension or Cancellation of Benefits, Privileges, or Exemptions",
,12-4.2,Legislative Policy,
,12-4.2,"Requisites of Agreements, Arrangements, and Declarations",
,12-4.3,"Power of Administrator to Make Agreements, Arrangements, or Declarations",
,12-4.3,"Existing Agreements, Arrangements, or Declarations Continued in Effect",
,12-4.4,"Agreements or Arrangements for Certain Benefits, Privileges, or Exemptions",
,12-4.4,Subtitle Part of and Supplemental to Vehicle Registration Laws,
,12-4.5,Base State Registration,
,12-4.6,Power of Administrator to Permit Proportional Registration of Fleet Vehicles,
,12-4.7,Declarations of Extent of Reciprocity,
,12-4.8,Leased Vehicles,
,12-4.9,"Reciprocity in Absence of Agreement, Arrangement, or Declaration",
,12-104.1,Issuance of Citations,
,12-112.1,Records -- Information Provided to Jury Commissioners,
,12-206.1,Victim's Representation Notification Form,
,12-301.1,Cards Issued Based on Documents From Division of Correction,
,12-303.1,Notification of Advance Directive on Application for and on Driver's License or Identification Card,
,13-1.0,Grounds for Refusing Certificate of Title,
,13-1.1,"""Certificate of Origin"" Defined",
,13-1.1,"Lost, Stolen, or Damaged Certificates",
,13-1.2,Exceptions,
,13-1.2,Transfer of Vehicles Generally,
,13-1.3,Farm and Special Mobile Equipment,
,13-1.3,Transfers to or From Dealers or Dismantlers or Recyclers Generally,
,13-1.4,Application for Certificate of Title -- in General,
,13-1.4,Transfers Other Than Voluntary,
,13-1.5,Examination of Records,
,13-1.5,Transfer-on-Death Beneficiary Designation,
,13-1.6,Issuance of Certificate; Records to Be Kept by Administration,
,13-1.6,When Administration to Issue New Certificate,
,13-1.7,"Contents, Form, and Effect of Certificate",
,13-1.7,Change in Type of Body of Vehicle,
,13-1.8,Delivery of Certificate,
,13-1.8,Change of Name of Owner; Fee,
,13-1.9,Registration Without Certificate of Title; Bond,
,13-1.9,Form for Exclusion or Modification of Implied Warranties,
,13-2.0,Assurance Fund -- Claims for Damages,
,13-2.1,"""Perfected"" Defined; Application of Subtitle",
,13-2.1,Terminal Rental Adjustment Clause,
,13-2.2,Perfection of Security Interest -- in General,
,13-2.3,Perfection of Security Interest -- by Owner,
,13-2.4,Assignment,
,13-2.5,Release,
,13-2.6,Duty of Secured Party to Disclose Certain Information,
,13-2.7,Procedure Exclusive,
,13-2.9,Assurance Fund -- Maintenance,
,13-5.1,Registration Expires on Transfer by Owner; Exception,
,13-5.2,Transferee Must Secure New Registration,
,13-5.3,Transfers to and From Licensed Dealers,
,13-5.4,Transfer Other Than Voluntary,
,13-5.5,"Scrapping, Dismantling, or Destroying Vehicles",
,13-5.6,Salvage Vehicles -- Salvage Certificate,
,13-5.7,Salvage Vehicles -- Certificate of Title,
,13-101.1,Certificate of Title Required,
,13-104.1,Application for Certificate of Title -- New Vehicles,
,13-104.2,"Application for Certificate of Title -- Specially Constructed, Reconstructed, and Foreign Vehicles",
,13-106.1,Assignment of Distinguishing Number,
,13-108.1,Electronic Issuance of Certificate of Title,
,13-113.1,Transfers of New Vehicles to and From Dealers -- in General,
,13-113.2,Transfers of New Vehicles to and From Dealers -- Two-Stage Vehicles,
,13-502.1,Transfer to Another Vehicle,
,13-503.1,Transfers Between Spouses,
,13-503.2,Transfer as Result of Reorganization Making Vehicle Exempt From Excise Tax,
,13-503.3,Transfer Into Written Inter Vivos Trust,
,13-506.1,Claim Settlement on a Salvage Vehicle,
,15-1.0,"Hearings on Refusal, Suspension, or Revocation of License",
,15-1.1,Definitions,
,15-1.1,Return of Licenses on Suspension or Revocation,
,15-1.2,Applications for Licenses,
,15-1.2,Sale of Motorized Minibikes; Warning Required,
,15-1.3,Surety Bonds,
,15-1.3,Record Keeping -- Auctioneer,
,15-1.4,Issuance of Licenses,
,15-1.5,Location Requirements; Books and Records,
,15-1.5,Citation for Certain Record Keeping Violations,
,15-1.6,Licensees to Report Changed Information,
,15-1.6,Penalty,
,15-1.7,Duplicate Licenses,
,15-1.8,Expiration and Renewal of Licenses,
,15-1.9,"Grounds for Refusal, Suspension, or Revocation of License",
,15-2.0,Deceptive Advertising Prohibited,
,15-2.1,Definitions,
,15-2.1,Prevention of Transfer of Ownership Interests in Dealership Prohibited,
,15-2.2,License Required,
,15-2.2,"Refusal, Suspension, or Revocation of License; Other Administrative Sanctions",
,15-2.3,Application for License,
,15-2.3,Right of Injured Persons to Sue for Damages,
,15-2.4,License Fees,
,15-2.4,Dispute Resolution,
,15-2.5,Manufacturer's or Distributor's Bond,
,15-2.6,Scope of License,
,15-2.7,Coercion of Dealer Prohibited,
,15-2.8,Refusal to Deliver Vehicles Prohibited,
,15-2.9,Wrongful Termination of Dealer's Franchise Prohibited,
,15-3.0,Contents of License,
,15-3.1,"""License"" Defined",
,15-3.1,Contents of Vehicle Sales Contracts,
,15-3.2,"License Required; Refused, Revoked, or Suspended Licenses",
,15-3.2,Prohibited Acts -- Vehicle Sales Transactions,
,15-3.3,License for Partnership or Corporation,
,15-3.3,Prohibited Acts -- Advertising Practices,
,15-3.4,Location and Service Requirements; Vehicle Shows,
,15-3.4,Prohibited Acts -- Violation of Licensing Laws,
,15-3.5,Special Requirements for License to Deal in New Vehicles,
,15-3.5,"Refusal, Suspension, or Revocation of License; Fine",
,15-3.6,Application of License,
,15-3.7,License Fee; Salesman's License Included,
,15-3.8,Dealer's Bond,
,15-3.9,Scope of License,
,15-4.0,Contents of Vehicle Sales Contracts,
,15-4.1,"""License"" Defined",
,15-4.1,Prohibited Acts,
,15-4.2,"License Required; Refused, Revoked, or Suspended Licenses",
,15-4.2,"Refusal, Suspension, or Revocation of License",
,15-4.3,License Issued Only to Individuals,
,15-4.4,Employment by Licensed Dealer Required,
,15-4.5,Application for License,
,15-4.6,License Fee,
,15-4.8,Scope of License,
,15-4.9,Salesman Must Act on Behalf of Specified Licensed Dealer,
,15-5.1,Definitions,
,15-5.1,Required Records of Acquisition,
,15-5.2,License Required,
,15-5.3,Location and Equipment Requirements,
,15-5.3,Limit on Number of Vehicles Stored by Dismantler and Recycler,
,15-5.4,Application Submitted to Maryland Department of Health,
,15-5.4,"Refusal, Suspension, or Revocation of License",
,15-5.5,License Fee,
,15-5.5,Penalty for Violation of Subtitle,
,15-5.6,Scope of License,
,15-5.7,Transfer of Vehicle to Dismantler and Recycler or Scrap Processor,
,15-5.9,Acquisition of Vehicles by Dismantler and Recycler -- Vehicles Without Evidence of Ownership,
,15-6.1,Definitions,
,15-6.2,License Required,
,15-6.3,License Fee,
,15-6.4,Title Service Agent's Bond,
,15-6.5,Scope of License,
,15-6.6,Prohibited Acts,
,15-6.7,"Refusal, Suspension, or Revocation of License",
,15-6.8,Collection and Remission of Vehicle Excise Tax,
,15-7.0,"Refusal, Suspension, or Revocation of License",
,15-7.1,Definitions,
,15-7.2,License Required,
,15-7.3,Application Fee,
,15-7.4,License Fee,
,15-7.5,Drivers' School Bond,
,15-7.6,Proof of Security,
,15-7.7,Scope of License; Required Display,
,15-7.8,Condition of Vehicles,
,15-7.9,Use of Licensed Instructors,
,15-8.1,Definitions,
,15-8.2,License Required,
,15-8.3,Qualifications for License,
,15-8.4,Application for License; Criminal History Records Check,
,15-8.5,License Fee,
,15-8.6,Scope of License,
,15-8.7,"Refusal, Suspension, or Revocation of License",
,15-110.1,"Conciliatory Conferences on Suspension, Revocation, and Refusal to Renew License",
,15-113.1,Record Keeping -- Automotive Repairs and Vehicle Storage,
,15-206.1,Good Faith,
,15-207.1,Access to Consumer Data From Dealer,
,15-211.1,Operation of Dealership of a Deceased or Incapacitated Dealer,
,15-212.1,Compensation of Dealer for Incentive or Reimbursement Programs,
,15-212.2,Termination of Dealership; Payments and Reimbursements,
,15-305.1,Wholesale Dealers,
,15-311.1,Dealer Processing Charge,
,15-311.2,Mechanical Repair Contracts,
,15-311.3,Dealer Financing or Leasing Agreements,
,16-1.0,Examination of Applicants,
,16-1.0,Administration to Obtain Names of Persons Receiving Public Assistance for Blindness,
,16-1.1,Drivers Must Be Licensed,
,16-1.1,Provisional License,
,16-1.1,Procedure for Non-Match,
,16-1.2,Persons Exempt From Licensing Requirements,
,16-1.2,License to Be Carried and Exhibited on Demand; Giving of False Name Prohibited,
,16-1.2,"Issuance or Renewal of Identification Card, Moped Operator's Permit, or License to Drive Not Acceptable by Federal Agencies for Official Purposes",
,16-1.3,Persons Not to Be Licensed -- Minimum Age Requirements,
,16-1.3,Restricted Licenses,
,16-1.3,"Security Plan for Identification Cards, Moped Operators' Permits and Licenses",
,16-1.4,Duplicate License,
,16-1.4,Fees,
,16-1.5,Learner's Instructional Permit,
,16-1.5,Expiration and Renewal of License,
,16-1.6,Application for License -- in General,
,16-1.6,Notice of Change of Address or Name,
,16-1.7,Application for License -- Minors,
,16-1.7,Records to Be Kept by Administration,
,16-1.8,Cancellation of Minor's License on Request of Cosigner,
,16-1.8,Medical Advisory Board,
,16-1.9,Suspension of Minor's License on Death of Cosigner,
,16-1.9,Reports of Certain Disorders by Physicians and Specialists,
,16-2.0,"Surrender and Return of License Upon Cancellation, Suspension, or Revocation; Calculation of Time Periods Regarding Suspended, Revoked, or Restricted Licenses",
,16-2.1,Authority of Administration to Cancel License; Surrender of Canceled License,
,16-2.1,"No Driving Under Refused, Suspended, or Revoked Foreign License in This State",
,16-2.2,Suspending or Revoking Privileges of Nonresidents; Reporting Convictions and Suspensions to State of Residence,
,16-2.2,Driver Improvement and Alcohol Education Programs and Point System Conferences,
,16-2.3,Suspension and Restriction for Child Support Arrearages,
,16-2.3,Violations,
,16-2.4,In General,
,16-2.5,Suspension or Revocation on Conviction of Certain Alcohol- or Drug-Related Offenses,
,16-2.6,"Authority of Administration to Suspend, Revoke, or Refuse License",
,16-2.7,Administration May Require Reexamination,
,16-2.8,Period of Suspension; Reinstatement of Revoked License,
,16-2.9,Fees for Reinstatement of Revoked Driving Privilege,
,16-3.1,Unlawful Application for or Use of License or Permit,
,16-3.2,Duplication or Reproduction of Identification Card or Driver's License,
,16-3.3,"Driving While Privilege Is Canceled, Suspended, Refused, or Revoked",
,16-3.4,Causing or Permitting Unauthorized Minor to Drive,
,16-3.5,Permitting Vehicle to Be Driven by Unauthorized Person or in Violation of Title,
,16-4.1,Maintenance of Point System,
,16-4.2,Assessment of Points,
,16-4.3,Offenses by Military Personnel,
,16-4.4,Effect of Accumulated Points,
,16-4.5,Adverse Effects on Employment of Licensee,
,16-4.6,Certain Violations Not to Be Recorded Against Employee of Vehicle's Owner,
,16-4.7,Duration of Points,
,16-5.1,Definitions,
,16-5.2,Program Established; Purpose,
,16-5.3,Eligibility,
,16-5.4,Qualifications and Certification of Instructors,
,16-5.5,Regulations; Jurisdiction of Administration and Department of Education,
,16-5.6,"Refusal, Suspension, or Revocation of Certification",
,16-5.7,Short Title,
,16-6.1,Definitions,
,16-6.2,Created; Purpose; Funding,
,16-6.3,Motorcycle Safety Courses,
,16-6.4,Regulations,
,16-6.5,Award of Contracts; Funding,
,16-6.6,Short Title,
,16-7.1,Definitions,
,16-7.2,Compact Enacted and Entered Into With Other Jurisdictions,
,16-7.3,Text of Compact,
,16-7.4,Compact Administrator,
,16-7.5,Administration to Furnish Information or Documents to Other States,
,16-7.6,Compensation of Compact Administrator; Reimbursement of Expenses,
,16-7.7,Effect to Be Given Convictions Under Certain Articles of Compact,
,16-7.8,Judicial Review,
,16-8.0,Application for License,
,16-8.0,Regulations,
,16-8.1,Short Title,
,16-8.1,Issuance of License Generally,
,16-8.2,Purpose; Construction,
,16-8.2,"Disqualification; Cancellation; Records and Notices of Suspension, Revocation, Etc",
,16-8.3,Definitions,
,16-8.3,Alcohol Concentration,
,16-8.4,Number of Licenses,
,16-8.4,Nonresidents,
,16-8.5,Required Disclosures,
,16-8.5,Classes of Licenses; Driving Vehicles Not Authorized by License; Additional Endorsements,
,16-8.6,Duties of Employers,
,16-8.6,School Vehicles,
,16-8.7,License Requirement; Tests; Eligibility for Licenses; Instructional Permits,
,16-8.7,Eligibility for Licenses or Activities,
,16-8.8,Persons Ineligible to Drive Commercial Motor Vehicles,
,16-8.8,Fees,
,16-8.9,Persons Eligible to Drive Commercial Motor Vehicles,
,16-8.9,Driving Records,
,16-9.1,Applicability,
,16-9.2,Duties of Police Officer,
,16-9.3,Duties of Administration,
,16-9.4,Copies of Records,
,16-9.5,Criminal or Motor Vehicle Violations,
,16-10.1,Definitions,
,16-10.2,Electronic Credentials,
,16-10.3,Verification System,
,16-10.4,Fee,
,16-10.5,Regulations,
,16-103.1,Persons Not to Be Licensed -- Disqualifications,
,16-104.1,Noncommercial Licenses,
,16-104.2,Moped Operator's Permit,
,16-110.1,Vision Requirements -- in General,
,16-110.2,Vision Requirements -- Bioptic Telescopic Lenses,
,16-110.3,Vision Requirements -- Daylight Driving Only and Outside Mirrors Each Side Restricted Licenses,
,16-111.1,Issuance of License,
,16-111.2,Fees,
,16-112.1,Written Recall Notice Upon Confiscation -- Form,
,16-114.1,Corrected License,
,16-117.1,Expungement of Certain Driving Records,
,16-118.1,Voluntary Developmental Disability Self-Disclosure Cards -- Design and Issuance,
,16-205.1,Suspension or Disqualification for Refusal to Submit to Chemical Tests for Intoxication,
,16-205.2,Preliminary Breath Test,
,16-206.1,Penalties for Violation of  7-104(h),
,16-208.1,Disqualification From Operating Commercial Motor Vehicles,
,16-212.1,Alcohol and Drug Abuse Education,
,16-303.1,Impoundment or Immobilization of Vehicle,
,16-402.1,Assessment of Points Upon Notice of Conviction of Certain Offenses by a Party State to the Driver License Compact,
,16-404.1,Ignition Interlock System Program,
,16-601.1,Legislative Intent,
,16-807.1,Program for Veterans and Service Members,
,16-807.2,"Training on Recognition, Prevention, and Effective Reporting of Human Trafficking",
,16-813.1,Obtaining License by Misrepresentation Unlawful,
,17-1.0,False Evidence of Required Security,
,17-1.1,Definitions,
,17-1.1,Program to Incentivize and Enable Uninsured Vehicle Owners to Be Insured,
,17-1.2,Exemptions,
,17-1.3,Form and Minimum Benefits of Security; Annual Assessment,
,17-1.4,Evidence of Security Prerequisite to Registration,
,17-1.5,Duty on Rejection by Maryland Automobile Insurance Fund; Suspension of Registration and License; Reinstatement,
,17-1.6,Lapse or Termination of Required Security,
,17-1.7,Prohibitions,
,17-1.9,Evidence of Security,
,17-2.1,"""Judgment"" Defined",
,17-2.2,Report of Unsatisfied Judgment to Administration,
,17-2.3,Duty of Administration as to Nonresident Judgment Debtor,
,17-2.8,What Constitutes a Satisfied Judgment,
,17-2.9,Installment Payment of Judgment,
,17-3.1,Disposition of Deposits Under Former Financial Responsibility Law,
,17-104.1,Operator of Moped or Motor Scooter to Carry Evidence of Security,
,17-104.2,Uninsured Motorist Education and Enforcement Fund,
,17-104.3,Request for Information by Person Involved in Adverse Event With Rental Vehicle,
,17-106.1,Reporting of Insurance Policies Issued to Registered Vehicles,
,21-1.1,Definitions,
,21-1.2,Required Obedience to Traffic Laws,
,21-1.3,Obedience to Police Officers and Summonses,
,21-1.4,Persons Riding Animals or Driving Animal-Drawn Vehicles,
,21-1.5,Persons Working on Highways,
,21-1.6,Emergency Vehicles,
,21-1.7,Authority of School Crossing Guards to Direct Traffic,
,21-2.1,Obedience to and Required Traffic Control Devices,
,21-2.2,Traffic Lights With Steady Indication,
,21-2.3,Pedestrian Control Signals,
,21-2.4,Flashing Signals,
,21-2.5,"Display of Unauthorized Signs, Signals, or Markings",
,21-2.6,Interference With Traffic Control Devices or Railroad Signs and Signals,
,21-2.7,Funeral Processions,
,21-2.8,Erection of Signs Denoting Height of Overpasses,
,21-2.9,Requirements for Vehicular Traffic With Nonfunctioning Traffic Control Signal at an Intersection,
,21-3.0,Following Too Closely,
,21-3.1,Driving on Right Side of Roadway; Exceptions,
,21-3.1,Driving on Divided Highways,
,21-3.2,Passing Vehicles Going in Opposite Directions,
,21-3.2,Entering or Leaving Controlled Access Highways,
,21-3.3,General Rules Governing Overtaking and Passing Vehicles,
,21-3.3,Restrictions on Use of Controlled Access Highways,
,21-3.4,When Passing on Right Is Permitted,
,21-3.4,Use of High Occupancy Vehicle (Hov) Lanes,
,21-3.5,Limitations on Overtaking or Driving to Left,
,21-3.7,No-Passing Zones,
,21-3.8,One-Way Highways and Roadways; Rotary Traffic Islands,
,21-3.9,Driving on Laned Roadways,
,21-4.1,Vehicle at Intersection,
,21-4.2,Vehicle Turning Left or Making U-Turn,
,21-4.3,Vehicle Entering Stop or Yield Intersection or Through Highway,
,21-4.4,Vehicle Entering Highway From Other Than a Highway; Vehicle Entering Paved Highway From Unpaved Highway,
,21-4.5,Operation of Vehicles on Approach of Emergency Vehicles or Tow Trucks,
,21-4.6,Violation of Subtitle Contributing to Accident Resulting in Death or Serious Bodily Injury Prohibited,
,21-5.0,Pedestrians to Yield Right-of-Way to Emergency Vehicles,
,21-5.1,Pedestrians Subject to Traffic Regulations,
,21-5.1,Right-of-Way of Blind or Deaf Pedestrians,
,21-5.2,Pedestrians' Right-of-Way in Crosswalks,
,21-5.3,Crossing at Other Than Crosswalks,
,21-5.4,Drivers to Exercise Due Care,
,21-5.5,Pedestrians to Use Right Half of Crosswalks,
,21-5.6,Pedestrians on Roadways,
,21-5.7,Certain Activities by Pedestrians Prohibited,
,21-5.8,Driving Through Safety Zone Prohibited,
,21-5.9,Controlled Access Highways,
,21-6.1,Required Position and Method of Turning at Intersections or Crossovers,
,21-6.2,U-Turn on Curve or Crest of Grade Prohibited,
,21-6.3,Starting Vehicle,
,21-6.4,"Turning, Slowing, and Stopping Movements; Required Signals",
,21-6.5,Signals by Hand and Arm or Signal Lamps,
,21-6.6,Method of Giving Hand and Arm Signals,
,21-7.1,Obedience to Signal Indicating Approach or Passage of Train,
,21-7.2,All Vehicles to Stop at Certain Railroad Crossings,
,21-7.3,Certain Vehicles to Stop at All Railroad Crossings,
,21-7.4,Moving Heavy Equipment at Railroad Crossings,
,21-7.5,"Emerging From and Entering Alley, Driveway, or Building",
,21-7.6,Overtaking and Passing School Vehicle,
,21-7.7,Stop Signs and Yield Signs,
,21-7.8,Livestock Crossings,
,21-8.0,Work Zone Speed Control System,
,21-8.1,Basic Rule,
,21-8.2,Establishment of State Speed Zones,
,21-8.3,Alteration of Maximum Speed Limit by Local Authorities,
,21-8.4,Minimum Speed Regulation,
,21-8.5,"Display of ""Slow Moving Vehicle"" Emblem",
,21-8.6,Special Speed Limitations for Elevated Structures,
,21-8.7,Charging Violations,
,21-8.8,Notice to Cosigner of Minor's Application of Speeding Violations,
,21-8.9,"Citations Based on Speed Monitoring Systems. [Effective Until July 1, 2026]",
,21-9.1,Scope of Subtitle,
,21-9.2,"Driving While Under the Influence of Alcohol, While Under the Influence of Alcohol per Se, While Impaired by Alcohol, or While Impaired by a Drug, a Combination of Drugs, a Combination of One or More Drugs and Alcohol, or While Impaired by a Controlled Dangerous Substance",
,21-9.3,Consumption of Alcoholic Beverages While Driving on Highway,
,21-9.4,Fleeing or Eluding Police,
,21-9.5,High Risk Driving by Minor Holding Provisional License,
,21-10.0,Parking Commercial Vehicles in Residential Areas in Prince George's County,
,21-10.1,"Stopping, Standing, or Parking Outside of Business or Residential Districts",
,21-10.3,"Stopping, Standing, or Parking Prohibited in Specified Places",
,21-10.4,Additional Parking Regulations,
,21-10.5,Reservation of Parking Space for Person Confined to Wheelchair,
,21-10.6,Parking Lot Spaces for Individuals With Disabilities,
,21-10.7,Unobstructed Entrances for Individuals With Disabilities,
,21-10.8,Bicycle and Pedestrian Accommodations,
,21-10.9,Charles County,
,21-11.0,Crossing Fire Hose,
,21-11.0,"Wearing Earphones, Headsets, etc., Prohibited",
,21-11.0,Requirements for Operation of All-Terrain Vehicle or Snowmobile on Public Property,
,21-11.1,Unattended Motor Vehicle,
,21-11.1,"Putting Glass, Injurious Substances, or Refuse on Highway or Bridge or in Waters Prohibited",
,21-11.1,Children in Rear of Pickup Trucks,
,21-11.1,Causing Diesel Emissions to Discharge Onto Another Prohibited; Exceptions,
,21-11.2,Limitations on Backing,
,21-11.2,Turning Off Lights to Avoid Identification Prohibited,
,21-11.2,Noise Limitations on Use of Sound Amplification Systems,
,21-11.2,Exhibition Driving in Special Event Zone Prohibited -- Application to Worcester County -- Penalty,
,21-11.3,Driving on Sidewalk,
,21-11.3,Placing Traffic Hazard Along Highway Prohibited,
,21-11.3,Prohibition Against Transporting Minors as Passengers by a Minor Holding Provisional Driver's License,
,21-11.3,Driving in Dedicated Bus Lane Prohibited -- Exceptions,
,21-11.4,Obstruction to Driver's View or Driving Mechanism,
,21-11.4,Using Roadway Before Opened; Walking on New or Newly Repaired Roadways; Damaging Highway or Construction Materials,
,21-11.4,Prohibition Against Use of Wireless Communication Device While Driving by Minor Holding Learner's Permit or Provisional License,
,21-11.4,Bus Lane Monitoring System -- Training for Operator -- Annual Calibration Check -- Civil Penalty -- Items Included in Citation,
,21-11.5,Opening and Closing Vehicle Doors,
,21-11.5,Moving or Removing Lights or Guards on Highways Prohibited,
,21-11.5,Limitations on Driving Low Speed Vehicles,
,21-11.6,Riding in Mobile Homes,
,21-11.6,Race or Speed Contest Prohibited,
,21-11.6,Recording Illegal Activity,
,21-11.7,Restrictions on Persons in Cargo Areas of Vehicles,
,21-11.7,"Skidding, Spinning of Wheels, and Excessive Noise Prohibited",
,21-11.7,Operation of Limousine of Certain Size,
,21-11.8,Coasting Prohibited,
,21-11.8,School Bus Regulations,
,21-11.8,Dispensing of Motor Fuel Into Dirt Bike,
,21-11.9,Following Fire Apparatus Prohibited; Passing Parking or Backing Emergency Vehicles Prohibited,
,21-11.9,Snow Emergency Routes,
,21-11.9,Driving While Video and Electronic Display Equipment Are On,
,21-12.0,"Wearing Earplugs, Headsets, etc., Prohibited",
,21-12.1,Scope of Subtitle,
,21-12.1,Motor Vehicle or Bicycle Racing Events,
,21-12.2,"Traffic and Pedestrian Laws Apply to Bicycles, Motor Scooters, Play Vehicles, or Unicycles",
,21-12.2,Copies or Summaries of Laws and Regulations,
,21-12.3,Riding on Bicycles or Motor Scooters,
,21-12.4,Clinging to Vehicles,
,21-12.5,Riding on Roadways or on Highway,
,21-12.6,"Carrying Articles; Removal, Riding On, or Tampering With Bicycle, Epamd, or Motor Scooter",
,21-12.7,Lamps and Other Equipment on Bicycles and Motor Scooters,
,21-12.8,"Securing Bicycle, Epamd, or Motor Scooter to Certain Objects",
,21-12.9,"Throwing Object at Bicycle, Epamd, or Motor Scooter",
,21-13.1,Traffic Laws Apply to Persons Operating Motorcycles,
,21-13.2,Riding on Motorcycles,
,21-13.3,Operating on Laned Roadways,
,21-13.4,Clinging to Other Vehicles,
,21-13.5,Footrests and Handlebars,
,21-13.6,Equipment for Riders -- Motorcycles,
,21-14.0,"Size, Weight, and Load of Vehicles",
,21-14.1,Definitions,
,21-14.1,Transportation of Hazardous Materials,
,21-14.2,Application of Other Provisions to Vehicular Crossings,
,21-14.2,Special Provisions for Tunnels,
,21-14.3,Rules and Regulations for User Safety,
,21-14.3,Failure or Refusal to Pay Toll,
,21-14.4,"Traffic to Comply With Signs, Orders, Etc",
,21-14.4,Failure to Pay Electronic or Video Toll,
,21-14.5,Pedestrians and Bicycles Prohibited,
,21-14.5,Reciprocal Enforcement of Toll Violations Between Jurisdictions,
,21-14.6,Hitchhiking and Pickup or Discharge of Passengers Prohibited,
,21-14.6,Reporting of Transponder Theft and Unauthorized Charges on E-Zpass Account,
,21-14.7,"Stopping, Standing, or Parking Prohibited; Exceptions",
,21-14.7,Dispute of E-Zpass Charges and Fees for the Use of Maryland Toll Facility,
,21-14.8,Prohibited Turns,
,21-14.9,Compliance With Posted Minimum Speeds,
,21-101.1,Scope of Title,
,21-104.1,Persons Operating All-Terrain Vehicle or Snowmobile on Designated Highways; Allegany County and Garrett County,
,21-104.2,"Person Operating Golf Cart on Highway; City of Crisfield, Somerset County",
,21-104.3,"Person Operating Golf Cart on Highway; Community of Golden Beach Patuxent Knolls, St. Mary's County",
,21-104.4,"Person Operating Golf Cart on Highway; Town of Vienna, Dorchester County",
,21-104.5,Operation of Personal Delivery Device -- Restrictions -- Applicable Equipment and Handling -- Braille Lettering -- Information for First Responders -- Notice by Operators to Local Governments,
,21-104.6,Operation of Golf Cart on County Highway on Hoopers Island and Taylors Island,
,21-202.1,Traffic Control Signal Monitoring Systems,
,21-204.1,Lane Direction Control Signals,
,21-206.1,Prohibition Against Taking Actions Against Transportation-Related Property or Intelligent Transportation System -- Penalties for Violations,
,21-401.1,"""T"" Intersection Without Traffic Control Device",
,21-404.1,Vehicle Entering Highway From Crossover,
,21-501.1,Person Using Epamd or Wheelchair Subject to Traffic Regulations,
,21-502.1,Pedestrian Safety Fund,
,21-703.1,Procedure Upon Approaching a Railroad Crossing,
,21-704.1,Automated Railroad Grade Crossings Enforcement Systems,
,21-706.1,Violation of  21-706,
,21-801.1,Maximum Limits,
,21-802.1,Highway Work Zones,
,21-803.1,School Zones,
,21-803.2,Establishment of Speed Limits on School and College Property,
,21-805.1,Driving a Limited Speed Vehicle,
,21-901.1,Reckless and Negligent Driving,
,21-901.2,Aggressive Driving,
,21-901.3,Injury or Death of Vulnerable Individual Caused by Motor Vehicle -- Penalties -- Suspension of License,
,21-902.1,Driving After Arrest for Violation of  21-902,
,21-902.2,"Ignition Interlock System -- Additional Penalty for Driving While Under the Influence of Alcohol, Under the Influence of Alcohol per Se, While Impaired by Alcohol, or Other Condition of Probation",
,21-902.3,Person Convicted Under  21-902(b) or (C),
,21-902.4,Ignition Interlock System -- Certification; Regulations; Sale or Lease; Monitoring Use; Reports,
,21-1003.1,Residential Parking Permits,
,21-1003.2,Reserved Parking Spaces for Plug-in Electric Drive Vehicle -- Signage -- Counted as Parking Space -- Civil Penalty,
,21-1004.1,Cats or Dogs Left in Standing or Parked Vehicle,
,21-1112.1,Obscuring or Modifying Vehicle Registration Plate With Intent to Avoid Identification Prohibited,
,21-1124.1,Text Messaging Prohibited,
,21-1124.2,Communications Traffic Safety Act,
,21-1124.3,Violation of  21-1124.1 or  21-1124.2 or This Section That Causes Accident Resulting in Death or Serious Bodily Injury Prohibited,
,21-1205.1,"Bicycles, Motor Scooters, and Epamds Prohibited on Certain Roadways and Highways; Speed Limit",
,21-1205.2,Operation of an Electric Bicycle,
,21-1207.1,Helmets Required,
,21-1207.2,Protective Helmets,
,21-1211.1,Foot Racing Events,
,21-1303.1,Restrictions; Requirements,
,21-1306.1,Equipment for Riders -- Mopeds and Motor Scooters,
,22-1.1,Driving With Improper Equipment Prohibited,
,22-1.2,Authority of Administrator,
,22-1.3,Program of Market Surveillance; Notice to Seller of Unapproved Device,
,22-1.4,Unlawful to Remove or Alter Safety Device or Equipment,
,22-1.5,Alterations Reducing Effectiveness of Bumpers,
,22-1.6,"""Police Officer"" Defined",
,22-2.0,"Mounting of Reflectors, Clearance Lamps, and Side Marker Lamps",
,22-2.0,Selling or Using Lamps or Equipment,
,22-2.1,"""Service Vehicles"" Defined",
,22-2.1,"Visibility Requirements for Reflectors, Clearance Lamps, Identification Lamps, and Marker Lamps",
,22-2.1,Additional Lighting Equipment,
,22-2.2,Visibility Distance; Measuring Mounted Height of Lamps,
,22-2.2,Obstructed Lamps Not Required to Be Lighted,
,22-2.2,Multiple-Beam Road-Lighting Equipment,
,22-2.2,Revocation of Certificate of Approval on Lighting Devices,
